# Last updated from batch 96 (v0.1.90) — 2026-09-15,,,,
Keyword,Kind,Platform,Status,Impl
GET,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GET$,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GET$$,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GET_STR,FUNCTION,codegen builtin,,IMPLEMENTED
GET_WSTR,FUNCTION,codegen builtin,,IMPLEMENTED
GETATTR,FUNCTION,codegen builtin,,IMPLEMENTED
GLOBAL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GLOBALMEM,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC ARC,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC ATTACH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC BITMAP CAPTURE,STATEMENT,PB/Win + PB/CC,Proposed New,TIER3_DDT
GRAPHIC BITMAP END,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC BITMAP LOAD,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC BITMAP NEW,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC BOX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC CELL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC CELL SIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC CHR SIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC CLEAR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC COLOR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC COPY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC DETACH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC ELLIPSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET BITS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET CANVAS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
